nta_code,year,eviction_count
Crown Heights North,2020,42
Crown Heights North,2021,4
Crown Heights North,2022,88
Crown Heights North,2023,209
Crown Heights North,2024,238
Crown Heights North,2025,285
Crown Heights North,2026,26
Crown Heights South,2017,106
Crown Heights South,2018,98
Crown Heights South,2019,75
Crown Heights South,2020,28
Crown Heights South,2021,2
Crown Heights South,2022,43
Crown Heights South,2023,67
Crown Heights South,2024,62
Crown Heights South,2025,76
Crown Heights South,2026,5
Cypress Hills-City Line,2017,104
Cypress Hills-City Line,2018,118
Cypress Hills-City Line,2019,82
Cypress Hills-City Line,2020,20
Cypress Hills-City Line,2021,1
Cypress Hills-City Line,2022,27
Cypress Hills-City Line,2023,45
Cypress Hills-City Line,2024,60
Cypress Hills-City Line,2025,75
Cypress Hills-City Line,2026,9
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2017,48
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2018,55
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2019,64
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2020,13
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2021,2
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2022,21
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2023,42
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2024,37
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2025,66
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2026,5
Douglas Manor-Douglaston-Little Neck,2017,11
Douglas Manor-Douglaston-Little Neck,2018,12
Douglas Manor-Douglaston-Little Neck,2019,8
Douglas Manor-Douglaston-Little Neck,2020,3
Douglas Manor-Douglaston-Little Neck,2023,4
Douglas Manor-Douglaston-Little Neck,2024,7
Douglas Manor-Douglaston-Little Neck,2025,13
Douglas Manor-Douglaston-Little Neck,2026,1
Dyker Heights,2017,24
Dyker Heights,2018,17
Dyker Heights,2019,19
Dyker Heights,2020,7
Dyker Heights,2022,11
Dyker Heights,2023,17
Dyker Heights,2024,14
Dyker Heights,2025,27
Dyker Heights,2026,3
East Concourse-Concourse Village,2017,317
East Concourse-Concourse Village,2018,328
East Concourse-Concourse Village,2019,291
East Concourse-Concourse Village,2020,60
East Concourse-Concourse Village,2021,2
East Concourse-Concourse Village,2022,44
East Concourse-Concourse Village,2023,170
East Concourse-Concourse Village,2024,200
East Concourse-Concourse Village,2025,252
East Concourse-Concourse Village,2026,30
East Elmhurst,2017,25
East Elmhurst,2018,29
East Elmhurst,2019,16
East Elmhurst,2020,5
East Elmhurst,2022,7
East Elmhurst,2023,7
East Elmhurst,2024,19
East Elmhurst,2025,23
East Elmhurst,2026,2
East Flatbush-Farragut,2017,202
East Flatbush-Farragut,2018,167
East Flatbush-Farragut,2019,136
East Flatbush-Farragut,2020,24
East Flatbush-Farragut,2021,2
