nta_code,nta_name,borough_name,year,renter_hh_total,rent_burden_30_34,rent_burden_35_39,rent_burden_40_49,rent_burden_50plus,total_occupied_units,owner_occupied,renter_occupied,total_housing_units,vacant_units,labor_force,unemployed,population,renter_hh_crowding_total,severe_crowding_renter,total_workers,transit_workers,median_hh_income,renter_median_income,median_gross_rent,median_contract_rent,gini_coefficient,rent_burden_30plus_pct,rent_burden_50plus_pct,vacancy_rate,renter_share,homeownership_rate,unemployment_rate,severe_crowding_rate,transit_commute_rate,renter_income_ratio,income_gap,eviction_count,eviction_rate,zillow_rent_index,covid_year,borough_code,median_hh_income_lag1,renter_median_income_lag1,unemployment_rate_lag1,rent_burden_30plus_pct_lag1,vacancy_rate_lag1,median_gross_rent_lag1,income_growth_yoy,rent_growth_yoy
BK1091,Dyker Beach Park,Brooklyn,2020,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,0.0,0.0,2389.994817646292,1,2,,,1.0,0.0,0.0,,,
BK1091,Dyker Beach Park,Brooklyn,2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,2320.1068260149627,1,2,,,1.0,0.0,0.0,,,
BK1091,Dyker Beach Park,Brooklyn,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,0.0,0.0,2570.6550609206206,0,2,,,0.0,0.0,0.0,,,
BK1101,Bensonhurst,Brooklyn,2012,21513.0,1781.0,1572.0,2029.0,6229.0,32843.0,11330.0,21513.0,35256.0,2413.0,45816.0,4539.0,95935.0,32843.0,27.0,40229.0,24231.0,43662.55788815344,36957.61087194455,1111.857434721426,1018.5293792672122,0.4401827278886746,0.5397201692000186,0.2895458559940501,0.06844225096437485,0.6550254239868465,0.3449745760131535,0.09907019381875327,0.0008220929878512925,0.6023266797583833,0.8464371456801874,6704.947016208891,0.0,0.0,,0,2,,,,,,,,
BK1101,Bensonhurst,Brooklyn,2013,21745.0,1885.0,1490.0,1933.0,6148.0,32981.0,11236.0,21745.0,35237.0,2256.0,46909.0,5017.0,97502.0,32981.0,34.0,40888.0,25097.0,45390.33943919099,39048.63215113536,1152.683216754528,1057.8181986010543,0.4411879294783697,0.5268337548861808,0.2827316624511382,0.06402361154468314,0.6593190018495497,0.3406809981504503,0.10695175765844507,0.0010308965768169552,0.6137986695362943,0.8602850878312651,6341.70728805563,0.0,0.0,,0,2,43662.55788815344,36957.61087194455,0.09907019381875327,0.5397201692000186,0.06844225096437485,1111.857434721426,0.03957123985872424,0.03671854030758093
BK1101,Bensonhurst,Brooklyn,2014,21612.0,1723.0,1496.0,1939.0,6515.0,33003.0,11391.0,21612.0,35288.0,2285.0,48506.0,4973.0,98933.0,33003.0,51.0,42477.0,26217.0,46537.229054006246,38708.470955090816,1195.9078669402525,1099.1437841771703,0.4538777778900872,0.54011660188784,0.30145289653895985,0.06475289050102018,0.6548495591309881,0.3451504408690119,0.10252339916711335,0.0015453140623579674,0.617204604844975,0.8317742964491893,7828.75809891543,0.0,0.0,,0,2,45390.33943919099,39048.63215113536,0.10695175765844507,0.5268337548861808,0.06402361154468314,1152.683216754528,0.02526726235109411,0.03749915810124049
BK1101,Bensonhurst,Brooklyn,2015,21645.0,1782.0,1206.0,1679.0,6607.0,33024.0,11379.0,21645.0,35290.0,2266.0,50087.0,4994.0,100608.0,33024.0,62.0,43819.0,26896.0,48645.131351383585,40726.0165096215,1210.9711752544529,1111.726075461196,0.45615325023854963,0.5208593208593209,0.30524370524370525,0.06421082459620289,0.6554324127906976,0.34456758720930236,0.09970651067143171,0.0018774224806201551,0.6137976676784044,0.8372064249439662,7919.114841762086,0.0,0.0,2542.45112817879,0,2,46537.229054006246,38708.470955090816,0.10252339916711335,0.54011660188784,0.06475289050102018,1195.9078669402525,0.04529496792624088,0.012595709695212731
BK1101,Bensonhurst,Brooklyn,2016,21858.0,1795.0,1204.0,1892.0,6474.0,32948.0,11090.0,21858.0,35104.0,2156.0,50466.0,4453.0,99879.0,32948.0,69.0,44610.0,27312.0,50193.71799877852,42270.674109408305,1254.2860461158002,1142.9200632765646,0.4580042271148089,0.5199469301857443,0.29618446335437826,0.06141750227894257,0.6634090081340294,0.33659099186597063,0.08823762533190663,0.002094209056695399,0.6122394082044385,0.8421506872720004,7923.043889370216,0.0,0.0,2585.0981890333874,0,2,48645.131351383585,40726.0165096215,0.09970651067143171,0.5208593208593209,0.06421082459620289,1210.9711752544529,0.031834360487360325,0.035768705107490195
BK1101,Bensonhurst,Brooklyn,2017,21810.0,1821.0,1269.0,2049.0,6748.0,33038.0,11228.0,21810.0,35155.0,2117.0,51085.0,3866.0,100912.0,33038.0,71.0,45763.0,27561.0,50503.45224552085,42433.077592357695,1302.5986998573014,1175.4010028539717,0.4598300846281909,0.5450252177900046,0.30939935809261804,0.06021903000995591,0.6601489194261154,0.3398510805738846,0.07567779191543506,0.0021490404988195413,0.6022550969123528,0.8402015249585455,8070.374653163155,0.0,0.0,2522.0616035426856,0,2,50193.71799877852,42270.674109408305,0.08823762533190663,0.5199469301857443,0.06141750227894257,1254.2860461158002,0.006170777122943338,0.03851805087931348
BK1101,Bensonhurst,Brooklyn,2018,22004.0,1748.0,1148.0,2003.0,7352.0,32758.0,10754.0,22004.0,34921.0,2163.0,50044.0,3494.0,98243.0,32758.0,74.0,45067.0,26759.0,51880.33816149751,42448.94588927455,1361.201378215242,1247.228087497328,0.4646474822633673,0.5567624068351209,0.3341210688965643,0.061939806992926894,0.6717137798400391,0.3282862201599609,0.0698185596674926,0.0022589901703400695,0.5937604011804647,0.8182087355933548,9431.392272222954,0.0,0.0,2457.4444130993297,0,2,50503.45224552085,42433.077592357695,0.07567779191543506,0.5450252177900046,0.06021903000995591,1302.5986998573014,0.0272632038951115,0.044989050245759055
