geoid,county,borough,borocode,tract,nta_code,nta_name,cd_name
36061013000,061,Manhattan,1,013000,MN0802,Upper East Side-Carnegie Hill,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061014000,061,Manhattan,1,014000,MN0802,Upper East Side-Carnegie Hill,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061014200,061,Manhattan,1,014200,MN0802,Upper East Side-Carnegie Hill,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061014801,061,Manhattan,1,014801,MN0802,Upper East Side-Carnegie Hill,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061014802,061,Manhattan,1,014802,MN0802,Upper East Side-Carnegie Hill,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061015001,061,Manhattan,1,015001,MN0802,Upper East Side-Carnegie Hill,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061015002,061,Manhattan,1,015002,MN0802,Upper East Side-Carnegie Hill,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061015801,061,Manhattan,1,015801,MN0802,Upper East Side-Carnegie Hill,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061016001,061,Manhattan,1,016001,MN0802,Upper East Side-Carnegie Hill,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061013601,061,Manhattan,1,013601,MN0803,Upper East Side-Yorkville,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061013602,061,Manhattan,1,013602,MN0803,Upper East Side-Yorkville,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061013603,061,Manhattan,1,013603,MN0803,Upper East Side-Yorkville,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061013604,061,Manhattan,1,013604,MN0803,Upper East Side-Yorkville,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061013800,061,Manhattan,1,013800,MN0803,Upper East Side-Yorkville,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061014401,061,Manhattan,1,014401,MN0803,Upper East Side-Yorkville,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061014402,061,Manhattan,1,014402,MN0803,Upper East Side-Yorkville,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061014601,061,Manhattan,1,014601,MN0803,Upper East Side-Yorkville,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061014602,061,Manhattan,1,014602,MN0803,Upper East Side-Yorkville,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061015200,061,Manhattan,1,015200,MN0803,Upper East Side-Yorkville,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061015401,061,Manhattan,1,015401,MN0803,Upper East Side-Yorkville,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061015402,061,Manhattan,1,015402,MN0803,Upper East Side-Yorkville,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061015403,061,Manhattan,1,015403,MN0803,Upper East Side-Yorkville,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061015601,061,Manhattan,1,015601,MN0803,Upper East Side-Yorkville,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent)
36061019701,061,Manhattan,1,019701,MN0901,Morningside Heights,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent)
36061019900,061,Manhattan,1,019900,MN0901,Morningside Heights,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent)
36061020101,061,Manhattan,1,020101,MN0901,Morningside Heights,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent)
36061020300,061,Manhattan,1,020300,MN0901,Morningside Heights,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent)
36061020500,061,Manhattan,1,020500,MN0901,Morningside Heights,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent)
36061020701,061,Manhattan,1,020701,MN0901,Morningside Heights,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent)
36061020901,061,Manhattan,1,020901,MN0901,Morningside Heights,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent)
36061021100,061,Manhattan,1,021100,MN0901,Morningside Heights,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent)
36061021303,061,Manhattan,1,021303,MN0902,Manhattanville-West Harlem,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent)
36061021703,061,Manhattan,1,021703,MN0902,Manhattanville-West Harlem,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent)
36061021900,061,Manhattan,1,021900,MN0902,Manhattanville-West Harlem,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent)
36061022301,061,Manhattan,1,022301,MN0902,Manhattanville-West Harlem,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent)
36061022302,061,Manhattan,1,022302,MN0902,Manhattanville-West Harlem,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent)
36061022500,061,Manhattan,1,022500,MN0903,Hamilton Heights-Sugar Hill,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent)
36061022700,061,Manhattan,1,022700,MN0903,Hamilton Heights-Sugar Hill,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent)
36061022900,061,Manhattan,1,022900,MN0903,Hamilton Heights-Sugar Hill,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent)
36061023100,061,Manhattan,1,023100,MN0903,Hamilton Heights-Sugar Hill,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent)
36061023300,061,Manhattan,1,023300,MN0903,Hamilton Heights-Sugar Hill,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent)
36061023501,061,Manhattan,1,023501,MN0903,Hamilton Heights-Sugar Hill,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent)
36061023700,061,Manhattan,1,023700,MN0903,Hamilton Heights-Sugar Hill,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent)
36061018600,061,Manhattan,1,018600,MN1001,Harlem (South),MN10 Harlem (CD 10 Equivalent)
36061019000,061,Manhattan,1,019000,MN1001,Harlem (South),MN10 Harlem (CD 10 Equivalent)
36061019702,061,Manhattan,1,019702,MN1001,Harlem (South),MN10 Harlem (CD 10 Equivalent)
36061020000,061,Manhattan,1,020000,MN1001,Harlem (South),MN10 Harlem (CD 10 Equivalent)
