zip_code,year,zori
10543,2020,
10543,2021,
10543,2022,
10549,2015,
10549,2016,
10549,2017,
10549,2018,
10549,2019,
10549,2020,
10549,2021,
10549,2022,
10550,2015,
10550,2016,
10550,2017,
10550,2018,
10550,2019,
10550,2020,
10550,2021,
10550,2022,
10552,2015,
10552,2016,
10552,2017,
10552,2018,
10552,2019,
10552,2020,
10552,2021,
10552,2022,
10562,2015,
10562,2016,
10562,2017,
10562,2018,
10562,2019,
10562,2020,
10562,2021,
10562,2022,
10566,2015,
10566,2016,
10566,2017,
10566,2018,
10566,2019,
10566,2020,
10566,2021,
10566,2022,
10573,2015,
10573,2016,
10573,2017,
10573,2018,
10573,2019,
10573,2020,
10573,2021,
10573,2022,
10580,2015,
10580,2016,
10580,2017,
10580,2018,
10580,2019,
10580,2020,
10580,2021,
10580,2022,
10583,2015,
10583,2016,
10583,2017,
10583,2018,
10583,2019,
10583,2020,
10583,2021,
10583,2022,
10591,2015,
10591,2016,
10591,2017,
10591,2018,
10591,2019,
10591,2020,
10591,2021,
10591,2022,3374.906177790855
10601,2015,
10601,2016,
10601,2017,
10601,2018,2530.811705071436
10601,2019,2689.60621479501
10601,2020,2631.1683283668626
10601,2021,2698.400307657332
10601,2022,2913.683729543652
10603,2015,
10603,2016,
10603,2017,
10603,2018,
10603,2019,
10603,2020,
10603,2021,
10603,2022,
10604,2015,
10604,2016,
10604,2017,
10604,2018,
10604,2019,
10604,2020,
10604,2021,
10604,2022,3284.8331500533554
10605,2015,
10605,2016,
10605,2017,
10605,2018,
10605,2019,
10605,2020,
10605,2021,
10605,2022,
10606,2015,
10606,2016,
10606,2017,
10606,2018,
10606,2019,
10606,2020,2454.872999601895
10606,2021,2505.5714226938476
10606,2022,2797.492028691137
10701,2015,
10701,2016,
10701,2017,1749.2022491285777
10701,2018,1802.842640881838
10701,2019,1878.9719132191876
10701,2020,1923.028547514559
10701,2021,2026.996885835135
10701,2022,2160.5312389842843
10703,2015,
10703,2016,
10703,2017,
10703,2018,
10703,2019,
10703,2020,
10703,2021,
10703,2022,
10704,2015,
10704,2016,
10704,2017,
10704,2018,
10704,2019,
10704,2020,
10704,2021,
10704,2022,1970.0520582034105
10705,2015,
10705,2016,
10705,2017,
10705,2018,
10705,2019,
10705,2020,
10705,2021,
10705,2022,
10708,2015,
10708,2016,
10708,2017,
10708,2018,
10708,2019,
10708,2020,
10708,2021,
10708,2022,
10709,2015,
10709,2016,
10709,2017,
10709,2018,
10709,2019,
10709,2020,
10709,2021,
10709,2022,
10710,2015,
10710,2016,
10710,2017,
10710,2018,
10710,2019,
10710,2020,
10710,2021,
10710,2022,
10801,2015,
10801,2016,
10801,2017,
10801,2018,2080.0586914086293
10801,2019,2193.5676274359453
10801,2020,2233.3879016700303
10801,2021,2341.4427229391226
10801,2022,2495.372485909261
10805,2015,
10805,2016,
10805,2017,
10805,2018,
10805,2019,
10805,2020,
10805,2021,
10805,2022,
10901,2015,
10901,2016,
10901,2017,
10901,2018,
10901,2019,
10901,2020,
10901,2021,
10901,2022,
10918,2015,
10918,2016,
10918,2017,
10918,2018,
10918,2019,
10918,2020,
10918,2021,
10918,2022,
10924,2015,
10924,2016,
10924,2017,
10924,2018,
10924,2019,
10924,2020,
10924,2021,
10924,2022,
10940,2015,
10940,2016,
10940,2017,
10940,2018,
10940,2019,
10940,2020,
10940,2021,
10940,2022,
10941,2015,
10941,2016,
10941,2017,
10941,2018,
10941,2019,
10941,2020,
10941,2021,
10941,2022,
10950,2015,
10950,2016,
10950,2017,
10950,2018,
10950,2019,
10950,2020,
10950,2021,
10950,2022,
10954,2015,
10954,2016,
10954,2017,
10954,2018,
10954,2019,
10954,2020,
10954,2021,
10954,2022,
